week,week_label,CommitCommentEvent,CreateEvent,DeleteEvent,ForkEvent,GollumEvent,IssueCommentEvent,IssuesEvent,MemberEvent,PublicEvent,PullRequestEvent,PullRequestReviewCommentEvent,PushEvent,ReleaseEvent,WatchEvent
2020-01-27,Jan_4th_week,15774.5,398069.0,144851.0,228872.0,18889.5,403280.5,157650.5,5127.5,,480158.0,98483.0,1553548.5,14399.0,586778.5
2020-02-03,Feb_1st_week,24456.0,547411.0,239817.0,312619.0,27300.0,765896.0,287563.0,11876.0,4.0,829493.0,266682.0,1955850.0,28867.0,759812.0
2020-02-10,Feb_2nd_week,25242.0,635501.0,281757.0,325974.0,22971.0,818542.0,296634.0,10532.0,1.0,929528.9999999999,273258.0,2000450.0,30734.0,849291.0
2020-02-17,Feb_3rd_week,23404.0,580814.0,249272.00000000003,339399.0,22113.0,782725.0,295696.0,10634.0,1.0,826883.0,264564.0,1986392.0000000002,29495.0,847033.0
2020-02-24,Feb_4th_week,23949.0,969167.0,406014.0,345896.0,23934.0,945486.0,308765.0,10524.0,,1358734.0,272717.0,2041215.0,30746.000000000004,855540.0
2020-03-02,Mar_1st_week,23287.0,761211.0,410300.0,359902.0,25277.0,954020.0,299922.0,12077.0,,1180378.0,284623.0,2126306.0,30895.0,874191.0
2020-03-09,Mar_2nd_week,24565.0,1161152.0,294864.0,358424.0,21005.0,851271.0,314685.0,10292.0,,1444793.0,287667.0,2130474.0,29842.0,858583.0
2020-03-16,Mar_3rd_week,28544.0,800229.0,302125.0,356847.0,22757.0,854543.0,308029.0,13260.0,2.0,1068162.0,308615.0,2195513.0,34081.0,866162.0
2020-03-23,Mar_4th_week,32865.0,714782.0,349339.0,379115.0,27172.0,963958.0,344800.0,13170.0,1.0,1069998.0,331725.0,2368464.0,41028.0,919947.0
2020-03-30,Mar_5th_week,40713.0,1351275.0,367013.0,391325.0,27233.0,1026667.9999999999,360250.0,12641.0,3.0,1708871.0,346111.0,2447380.0,38062.0,951164.0
2020-04-06,Apr_1st_week,37298.0,733494.0,321796.0,398234.0,27002.0,961593.0,358006.0,11273.0,2.0,1052890.0,327004.0,2487220.0,37023.0,978539.0
2020-04-13,Apr_2nd_week,38079.0,840114.0,286725.0,415368.0,32495.0,993073.0,382374.0,10386.0,,1171226.0,331246.0,2562143.0,38343.0,1035210.0000000001
2020-04-20,Apr_3rd_week,37261.0,707079.0,366671.0,423795.0,28161.0,1061533.0,386567.0,9200.0,6.0,1088592.0,339856.0,2569461.0,40062.0,1032067.0000000001
2020-04-27,Apr_4th_week,42628.25,1213252.25,423489.5,437283.0,29979.25,1251159.0,446579.0,10820.25,1.75,1739193.75,422721.25,2999438.75,43368.5,1078931.0
