week,num_nodes,num_edges,density,average_degree,clustering_coefficient,number_of_components,largest_component_size,label,week_label,actual_days
2019-02-04,480399.0,55696647.0,0.0004826760624809,231.87661506372828,0.0787376186558539,27521.0,399571.0,2019,Feb_1st_week,7
2019-02-11,603490.0,96234031.0,0.0005284686593859,318.92502278413895,0.1047103778166278,29187.0,517258.0,2019,Feb_2nd_week,7
2019-02-18,637303.0,157593146.0,0.0007760256509085,494.5626993753364,0.1302226641605871,30273.0,548290.0,2019,Feb_3rd_week,7
2019-02-25,654151.0,177131433.0,0.0008278855003696,541.5613000668042,0.1066996837459066,31398.0,561772.0,2019,Feb_4th_week,7
2019-03-04,657512.0,212112636.0,0.000981272957701,645.1977636910049,0.1107801052658174,31236.0,566035.0,2019,Mar_1st_week,7
2019-03-11,653017.0,101479336.0,0.0004759477770682,310.8015135899984,0.085888103726339,32585.0,557154.0,2019,Mar_2nd_week,7
2019-03-18,660360.0,108048690.0,0.000495551324677,327.2417772124296,0.1026802482000757,33464.0,562828.0,2019,Mar_3rd_week,7
2019-03-25,673418.0,121883176.0,0.0005375327900526,361.9837188789133,0.1226770463081395,34016.0,573438.0,2019,Mar_4th_week,7
2019-04-01,662521.0,112049999.0,0.0005105557959444,338.25342592914035,0.0971181018257105,34963.0,559939.0,2019,Apr_1st_week,7
2019-04-08,689125.0,168516452.0,0.0007097034585883,489.0736861962634,0.1277773743026839,35431.0,586236.0,2019,Apr_2nd_week,7
2019-04-15,653564.0,182876501.0,0.0008562731371986,559.6284403669724,0.1003648114356042,32248.0,560429.0,2019,Apr_3rd_week,7
2019-04-22,716800.0,415743947.0,0.0016183056228043,1159.9998521205357,0.1716127568013361,33686.0,618461.0,2019,Apr_4th_week,7
2020-02-03,618471.0,56837500.0,0.0002971850677156,183.80004883009877,0.059475820911115,32721.0,522500.0,2020,Feb_1st_week,7
2020-02-10,644217.0,53780035.0,0.0002591715870739,166.96248313844558,0.0547063492063492,32773.0,548627.0,2020,Feb_2nd_week,7
2020-02-17,662083.0,75031329.0,0.000342332724844,226.6523351301876,0.0578390109890109,34500.0,561528.0,2020,Feb_3rd_week,7
2020-02-24,674941.0,77228961.0,0.0003390620706953,228.84655399508995,0.0554777056277056,34129.0,575785.0,2020,Feb_4th_week,7
2020-03-02,694879.0,84397364.0,0.000349575613927,242.9124034544144,0.0732229040395449,35332.0,591453.0,2020,Mar_1st_week,7
2020-03-09,687712.0,87769609.0,0.0003711603587711,255.25106149085664,0.0686187756687756,33591.0,590706.0,2020,Mar_2nd_week,7
2020-03-16,686440.0,100275221.0,0.0004256171221532,292.1601917137696,0.1004129117259551,32258.0,594042.0,2020,Mar_3rd_week,7
2020-03-23,746618.0,91281190.5,0.0003275510157914,244.49849105214497,0.0554506474519632,35580.5,644191.0,2020,Mar_4th_week,7
2020-04-06,763961.0,95332614.0,0.0003266853720304,249.574556816382,0.0428878787878787,36732.0,658778.0,2020,Apr_1st_week,7
2020-04-13,806437.0,125713465.0,0.0003866085375203,311.77504256377125,0.064036568986569,38496.0,696750.0,2020,Apr_2nd_week,7
2020-04-20,810568.0,91598260.0,0.0002788295812007,226.01005714511305,0.0684233918128654,39434.0,697245.0,2020,Apr_3rd_week,7
2020-04-27,1003453.5,59952585.0,0.00036468698105455,209.1118796237195,0.07005833333333328,60131.75,830947.25,2020,Apr_4th_week,4
