,CommitCommentEvent_2019,CreateEvent_2019,DeleteEvent_2019,ForkEvent_2019,GollumEvent_2019,IssueCommentEvent_2019,IssuesEvent_2019,MemberEvent_2019,PublicEvent_2019,PullRequestEvent_2019,PullRequestReviewCommentEvent_2019,PushEvent_2019,ReleaseEvent_2019,WatchEvent_2019,CommitCommentEvent_2020,CreateEvent_2020,DeleteEvent_2020,ForkEvent_2020,GollumEvent_2020,IssueCommentEvent_2020,IssuesEvent_2020,MemberEvent_2020,PublicEvent_2020,PullRequestEvent_2020,PullRequestReviewCommentEvent_2020,PushEvent_2020,ReleaseEvent_2020,WatchEvent_2020
Feb_2nd_week,9.31,15.96,38.36,30.62,28.31,16.44,13.38,4.57,5.56,11.07,16.36,7.96,6.98,41.51,3.21,16.09,17.49,4.27,-15.86,6.87,3.15,-11.32,-75.0,12.06,2.47,2.28,6.47,11.78
Feb_3rd_week,-0.35,0.24,-15.99,11.42,-17.81,-1.46,3.97,1.48,-15.79,3.28,-2.88,2.24,4.83,5.33,-7.28,-8.61,-11.53,4.12,-3.74,-4.38,-0.32,0.97,0.0,-11.04,-3.18,-0.7,-4.03,-0.27
Feb_4th_week,-0.21,4.73,4.76,2.3,-4.95,2.84,2.34,4.5,-12.5,2.26,4.81,4.24,6.69,2.66,2.33,66.86,62.88,1.91,8.23,20.79,4.42,-1.03,0.0,64.32,3.08,2.76,4.24,1.0
Mar_1st_week,3.27,-6.62,-3.88,-1.96,3.37,-1.01,-3.82,-12.19,57.14,-1.21,-2.05,-1.71,-4.27,1.12,-2.76,-21.46,1.06,4.05,5.61,0.9,-2.86,14.76,0.0,-13.13,4.37,4.17,0.48,2.18
Mar_2nd_week,-0.82,1.43,-5.17,0.64,2.74,-2.98,-0.42,13.47,-31.82,-0.65,-1.83,0.25,-0.17,-2.99,5.49,52.54,-28.13,-0.41,-16.9,-10.77,4.92,-14.78,0.0,22.4,1.07,0.2,-3.41,-1.79
Mar_3rd_week,-3.51,0.19,7.72,2.41,-15.01,0.1,-1.3,-0.63,66.67,3.44,-0.11,5.65,-3.32,1.07,16.2,-31.08,2.46,-0.44,8.34,0.38,-2.12,28.84,100.0,-26.07,7.28,3.05,14.2,0.88
Mar_4th_week,-1.95,10.8,19.81,1.67,2.77,6.93,11.46,0.15,-32.0,0.06,4.2,-3.0,9.24,22.86,19.509999999999998,39.185,10.345,4.73,9.809999999999999,9.655000000000001,8.21,-2.3499999999999996,75.0,29.94,5.915,5.605,6.574999999999999,4.8
Apr_1st_week,5.5,-4.25,-12.49,-2.14,-0.0,-6.69,-9.83,-0.05,5.88,2.08,-1.15,1.76,-3.52,-14.45,-8.39,-45.72,-12.32,1.77,-0.85,-6.34,-0.62,-10.82,-33.33,-38.39,-5.52,1.63,-2.73,2.88
Apr_2nd_week,71.58,-3.55,-5.34,3.12,-1.91,0.01,-1.21,-8.6,33.33,-3.99,-0.73,-1.95,-5.62,5.04,2.09,14.54,-10.9,4.3,20.34,3.27,6.81,-7.87,0.0,11.24,1.3,3.01,3.57,5.79
Apr_3rd_week,-41.24,-7.89,-4.49,-7.39,-10.94,-8.79,-7.22,-12.79,-29.17,-6.11,-8.56,-5.31,-3.59,-1.25,-2.15,-15.84,27.88,2.03,-13.34,6.89,1.1,-11.42,200.0,-7.06,2.6,0.29,4.48,-0.3
Apr_4th_week,8.48,1.83,9.48,33.68,10.26,4.57,3.48,4.09,23.53,3.59,1.15,5.32,4.46,3.62,14.4,71.59,15.5,3.18,6.46,17.86,15.52,17.61,-70.83,59.77,24.38,16.73,8.25,4.54
